"Month","Transect","Shoot","Subshoot","Days","Old.mm","New.mm","NumLeavs","Prev","mm2.sh.d","sp.prod.mm2","ShootID","Prev.Field","Old.g","New.g","g.sh.d","sp.prod.g","Sheath","Notes"
"July","A",1,"Main",6,7039.937,941.802,4,"1",156.967,"0.0222966483933024","A1",NA,0.2403,0.0247,0.004116667,0.017131364,"101",""
"July","A",2,"Main",6,20611.525,2623.129,5,"1",437.188166666667,"0.0212108597819262","A2",NA,0.7648,0.0701,0.011683333,0.015276325,"193",""
"July","A",3,"Main",6,6261.062,1316.057,3,"1",219.342833333333,"0.03503284799501","A3",NA,0.237,0.0387,0.00645,0.02721519,"127",""
"July","A",4,"Main",6,7448.763,1320.893,5,"1",220.148833333333,"0.0295550863053816","A4",NA,0.2772,0.0281,0.004683333,0.016895142,"138",""
"July","A",5,"Main",6,6807.872,790.647,5,"1",131.7745,"0.019356195298619","A5",NA,0.2029,0.0602,0.010033333,0.049449647,"75",""
"July","A",6,"Main",6,3399.893,53.406,3,"0",8.901,"0.00261802356721226","A6",NA,0.1097,0.0012,2e-04,0.001823154,"120",""
"July","A",7,"Main",6,7940.097,1042.049,5,"1",173.674833333333,"0.0218731374860198","A7",NA,0.2567,0.0354,0.0059,0.022984028,"no data","damaged"
"July","A",8,"Main",6,7423.491,1077.92,4,"1",179.653333333333,"0.0242006534840998","A8",NA,0.2747,0.0302,0.005033333,0.018323019,"65",""
"July","A",9,"Main",6,8142.915,1541.265,5,"0",256.8775,"0.0315461355055284","A9",NA,0.2875,0.0327,0.00545,0.018956522,"115",""
"July","A",10,"Main",6,13609.303,1520.689,4,"1",253.448166666667,"0.0186231555478386","A10",NA,0.4843,0.0358,0.005966667,0.012320187,"173",""
"July","A",11,"Main",6,1621.27,81.202,2,"0",13.5336666666667,"0.00834757114278724","A11",NA,0.1368,0.0023,0.000383333,0.002802144,"105",""
"July","A",12,"Main",6,5551.269,841.657,4,"1",140.276166666667,"0.0252692072149029","A12",NA,0.1809,0.0227,0.003783333,0.020913949,"130",""
"July","A",13,"Main",6,8284.451,1148.983,4,"1",191.497166666667,"0.0231152512902384","A13",NA,0.2878,0.028,0.004666667,0.016214964,"94",""
"July","A",14,"Main",6,6283.102,1164.547,5,"1",194.091166666667,"0.0308909781612119","A14",NA,0.2388,0.0291,0.00485,0.020309883,"132",""
"July","A",15,"Main",6,10286.644,1048.601,5,"1",174.766833333333,"0.0169896842287274","A15",NA,0.3215,0.0253,0.004216667,0.013115604,"90","damaged"
"July","A",16,"Main",6,9153.794,997.184,5,"1",166.197333333333,"0.0181561146485636","A16",NA,0.2746,0.0224,0.003733333,0.013595533,"144",""
"July","A",17,"Main",6,5088.344,768.453,3,"1",128.0755,"0.0251703697705973","A17",NA,0.1683,0.016,0.002666667,0.015844722,"140",""
"July","A",18,"Main",6,4292.356,457.892,4,"0",76.3153333333333,"0.0177793578476094","A18",NA,0.1194,0.0119,0.001983333,0.016610832,"121",""
"July","A",19,"Main",6,4540.698,648.221,4,"1",108.036833333333,"0.0237930012815944","A19",NA,0.1311,0.0174,0.0029,0.022120519,"136",""
"July","A",20,"Main",6,4502.168,656.187,4,"1",109.3645,"0.0242915191081275","A20",NA,0.1316,0.0155,0.002583333,0.019630193,"114",""
"July","A",21,"Main",6,3232.402,289.325,3,"1",48.2208333333333,"0.0149179567805407","A21",NA,0.1168,0.0067,0.001116667,0.009560502,"113",""
"July","A",22,"Main",6,6445.045,859.626,4,"1",143.271,"0.0222296353245012","A22",NA,0.2243,0.0178,0.002966667,0.013226334,"110",""
"July","A",23,"Main",6,10954.64,1299.292,4,"1",216.548666666667,"0.019767757467764","A23",NA,0.3463,0.0984,0.0164,0.047357782,"140",""
"July","A",24,"Main",6,5081.755,307.258,3,"1",51.2096666666667,"0.0100771616629819","A24",NA,0.1538,0.0063,0.00105,0.006827048,"129","damaged"
"July","A",25,"Main",6,8564.669,1547.642,6,"0",257.940333333333,"0.030116789491028","A25",NA,0.2563,0.0351,0.00585,0.022824815,"135",""
"July","A",26,"Main",6,7824.966,1186.682,5,"1",197.780333333333,"0.0252755517830152","A26",NA,0.2484,0.0274,0.004566667,0.018384326,"110",""
"July","A",27,"Main",6,6290.958,457.1,5,"1",76.1833333333333,"0.0121099732875873","A27",NA,0.1989,0.0121,0.002016667,0.010139098,"130",""
"July","A",28,"Main",6,6043.041,598.929,3,"1",99.8215,"0.0165184217681131","A28",NA,0.1748,0.0151,0.002516667,0.014397407,"80","no rhizome"
"July","A",29,"Main",6,5507.973,587.639,5,"1",97.9398333333333,"0.0177814657648709","A29",NA,0.1701,0.0175,0.002916667,0.017146776,"145",""
"July","A",30,"Main",6,4836.701,860.986,4,"1",143.497666666667,"0.0296685006302161","A30",NA,0.1309,0.0199,0.003316667,0.025337408,"136",""
"July","B",1,"Main",6,9027.531,1262.836,5,"1",210.472666666667,"0.0233145326963338","B1",NA,0.2833,0.0332,0.005533333,0.01953171,"92",""
"July","B",2,"Main",6,6650.407,1331.782,5,"0",221.963666666667,"0.0333759522788104","B2",NA,0.1891,0.0346,0.005766667,0.030495329,"83",""
"July","B",3,"Main",6,4426.705,893.065,5,"1",148.844166666667,"0.0336241440680295","B3",NA,0.1193,0.0191,0.003183333,0.026683431,"72",""
"July","B",4,"Main",6,21088.165,1073.919,5,"1",178.9865,"0.00848753317322773","B4",NA,0.6923,0.0344,0.005733333,0.008281573,"159",""
"July","B",5,"Main",6,8826.827,1306.672,4,"1",217.778666666667,"0.024672361502799","B5",NA,0.3097,0.0308,0.005133333,0.01657518,"155.5",""
"July","B",6,"Main",6,845.405,158.653,2,"0",26.4421666666667,"0.0312775139331642","B6",NA,0.068,0.0028,0.000466667,0.006862745,"125",""
"July","B",7,"Main",6,21639.31,2361.544,6,"1",393.590666666667,"0.0181886883947162","B7",NA,0.7109,0.0519,0.00865,0.012167675,"60",""
"July","B",8,"Main",6,12058.114,1167.272,5,"1",194.545333333333,"0.0161339769497397","B8",NA,0.3755,0.0382,0.006366667,0.016955171,"70",""
"July","B",9,"Main",6,5666.492,824.019,4,"1",137.3365,"0.0242365999987294","B9",NA,0.1727,0.0184,0.003066667,0.01775719,"123",""
"July","B",10,"Main",6,6895.653,1562.111,4,"1",260.351833333333,"0.0377559359981329","B10",NA,0.2238,0.0366,0.0061,0.027256479,"107",""
"July","B",11,"Main",6,8546.681,1426.705,3,"1",237.784166666667,"0.027821813715367","B11",NA,0.0344,0.0385,0.006416667,0.186531008,"155",""
"July","B",12,"Main",6,9980.578,1292.504,4,"1",215.417333333333,"0.0215836531043927","B12",NA,0.3396,0.0542,0.009033333,0.026599921,"144",""
"July","B",13,"Main",6,2718.477,55.094,4,"1",9.18233333333333,"0.00337774913428855","B13",NA,0.0965,0.0017,0.000283333,0.002936097,"111",""
"July","B",14,"Main",6,7485.131,873.259,4,"1",145.543166666667,"0.0194443045374445","B14",NA,0.2401,0.0201,0.00335,0.01395252,"63",""
"July","B",15,"Main",6,3376.631,222.436,4,"1",37.0726666666667,"0.0109791880328845","B15",NA,0.1049,0.0063,0.00105,0.010009533,"79",""
"July","B",16,"Main",6,7879.28,1274.937,4,"1",212.4895,"0.0269681366825395","B16",NA,0.3097,0.0393,0.00655,0.0211495,"148",""
"July","B",17,"Main",6,6131.774,987.97,4,"1",164.661666666667,"0.0268538381660294","B17",NA,0.1709,0.022,0.003666667,0.021455042,"113",""
"July","B",18,"Main",6,5463.945,1131.821,3,"1",188.636833333333,"0.0345239260888119","B18",NA,0.2032,0.0298,0.004966667,0.024442257,"70",""
"July","B",19,"Main",6,13049.633,1876.74,4,"1",312.79,"0.023969256453419","B19",NA,0.3765,0.0485,0.008083333,0.021469677,"92",""
"July","B",20,"Main",6,8034.044,816.85,5,"1",136.141666666667,"0.0169455963480741","B20",NA,0.7412,0.0151,0.002516667,0.003395395,"80","damaged, limited growth"
"July","B",21,"Main",6,3741.845,780.176,4,"1",130.029333333333,"0.0347500586831719","B21",NA,0.1119,0.0178,0.002966667,0.026511766,"92",""
"July","B",22,"Main",6,9241.916,1068.324,5,"1",178.054,"0.0192659184524075","B22",NA,0.2454,0.0207,0.00345,0.01405868,"90",""
"July","B",23,"Main",6,6911.856,1382.66,5,"1",230.443333333333,"0.0333402972129821","B23",NA,0.2056,0.0264,0.0044,0.021400778,"121",""
"July","B",24,"Main",6,6277.573,1305.943,4,"1",217.657166666667,"0.03467218408558","B24",NA,0.2203,0.0285,0.00475,0.021561507,"130",""
"July","B",25,"Main",6,12623.199,1677.444,5,"0",279.574,"0.0221476346843617","B25",NA,0.4338,0.0491,0.008183333,0.0188643,"107",""
"July","B",26,"Main",6,7482.484,2080.32,5,"1",346.72,"0.0463375531441163","B26",NA,0.1841,0.0482,0.008033333,0.043635705,"150",""
"July","B",27,"Main",6,2175.817,431.31,3,"1",71.885,"0.0330381645147547","B27",NA,0.0753,0.0087,0.00145,0.019256308,"110",""
"July","B",28,"Main",6,15672.929,2023.668,5,"1",337.278,"0.0215197810185958","B28",NA,0.4668,0.0495,0.00825,0.017673522,"144",""
"July","B",29,"Main",6,3851.896,1029.173,2,"0",171.528833333333,"0.0445310136445359","B29",NA,0.2052,0.0262,0.004366667,0.021280052,"105",""
"July","B",30,"Main",6,5130.879,209.852,4,"1",34.9753333333333,"0.00681663577202529","B30",NA,0.1704,0.0034,0.000566667,0.003325509,"170",""
"July","C",1,"Main",6,5172.413,1051.331,4,"0",175.221833333333,"0.0338762263054658","C1",NA,0.1387,0.0299,0.004983333,0.035928863,"145",""
"July","C",2,"Main",6,15349.282,1989.129,5,"1",331.5215,"0.0215985021318913","C2",NA,0.5888,0.0475,0.007916667,0.013445426,"115",""
"July","C",3,"Main",6,6022.268,1054.799,5,"1",175.799833333333,"0.0291916323440493","C3",NA,0.1496,0.0239,0.003983333,0.02662656,"172",""
"July","C",4,"Main",6,7829.743,483.261,5,"1",80.5435,"0.0102868638217116","C4",NA,0.2957,0.0152,0.002533333,0.008567242,"160",""
"July","C",5,"Main",6,8194.101,1923.677,4,"1",320.612833333333,"0.039127273795299","C5",NA,0.3347,0.0533,0.008883333,0.026541181,"90",""
"July","C",6,"Main",6,9197.416,1925.975,5,"1",320.995833333333,"0.0349006539807847","C6",NA,0.3381,0.0571,0.009516667,0.028147491,"98",""
"July","C",7,"Main",6,23373.351,2753.669,6,"1",458.944833333333,"0.0196353887524871","C7",NA,0.8634,0.0819,0.01365,0.01580959,"103",""
"July","C",8,"Main",6,19421,2805.32,6,"1",467.553333333333,"0.0240746271218441","C8",NA,0.7089,0.078,0.013,0.018338271,"150",""
"July","C",9,"Main",6,5489.841,898.919,5,"0",149.819833333333,"0.0272903775051651","C9",NA,0.1958,0.0314,0.005233333,0.026727954,"60",""
"July","C",10,"Main",6,11299.415,1511.665,5,"1",251.944166666667,"0.0222970982716067","C10",NA,0.3864,0.0439,0.007316667,0.018935473,"132",""
"July","C",11,"Main",6,11964.803,1578.635,6,"1",263.105833333333,"0.0219899845683488","C11",NA,0.4414,0.0448,0.007466667,0.016915874,"65",""
"July","C",12,"Main",6,9368.804,331.363,5,"1",55.2271666666667,"0.00589479368622363","C12",NA,0.2714,0.0087,0.00145,0.005342668,"79",""
"July","C",13,"Main",6,6178.781,946.684,4,"1",157.780666666667,"0.0255358891449085","C13",NA,0.185,0.0233,0.003883333,0.020990991,"105",""
"July","C",14,"Main",6,14125.509,2134.823,5,"1",355.803833333333,"0.0251887442309748","C14",NA,0.5249,0.0704,0.011733333,0.022353464,"62",""
"July","C",15,"Main",6,2090.296,424.596,3,"1",70.766,"0.033854535434216","C15",NA,0.0497,0.0103,0.001716667,0.034540577,"106",""
"July","C",16,"Main",6,7392.715,1048.02,4,"1",174.67,"0.0236273141870071","C16",NA,0.2292,0.0225,0.00375,0.016361257,"115",""
"July","C",17,"Main",6,16167.973,2561.768,5,"1",426.961333333333,"0.0264078455186271","C17",NA,0.4609,0.0552,0.0092,0.019960946,"170",""
"July","C",18,"Main",6,7421.752,1534.469,5,"1",255.744833333333,"0.0344588223014368","C18",NA,0.2286,0.0405,0.00675,0.029527559,"137",""
"July","C",19,"Main",6,16204.291,2188.023,5,"1",364.6705,"0.0225045637603027","C19",NA,0.485,0.0589,0.009816667,0.02024055,"155",""
"July","C",20,"Main",6,12006.521,979.273,6,"1",163.212166666667,"0.0135936268854789","C20",NA,0.1348,0.0259,0.004316667,0.03202275,"110",""
"July","C",21,"Main",6,5072.627,643.761,4,"1",107.2935,"0.0211514664886655","C21",NA,0.1615,0.0187,0.003116667,0.019298246,"95",""
"July","C",22,"Main",6,11631.315,1592.543,4,"1",265.423833333333,"0.0228197614227913","C22",NA,0.3248,0.0387,0.00645,0.019858374,"125",""
"July","C",23,"Main",6,15447.458,1818.56,5,"1",303.093333333333,"0.0196209197224121","C23",NA,0.5211,0.0471,0.00785,0.015064287,"110",""
"July","C",24,"Main",6,8657.784,1369.662,4,"1",228.277,"0.026366677662552","C24",NA,0.2538,0.0363,0.00605,0.023837667,"127",""
"July","C",25,"Main",6,11674.09,1953.695,4,"1",325.615833333333,"0.0278921811750066","C25",NA,0.3976,0.0518,0.008633333,0.021713615,"149",""
"July","C",26,"Main",6,24176.202,3998.861,6,"1",666.476833333333,"0.0275674745492833","C26",NA,0.9041,0.1183,0.019716667,0.02180806,"173",""
"July","C",27,"Main",6,6513.139,1290.613,4,"1",215.102166666667,"0.0330258830138074","C27",NA,0.1867,0.0322,0.005366667,0.028744867,"110",""
"July","C",28,"Main",6,15496.836,2025.82,5,"1",337.636666666667,"0.021787458205447","C28",NA,0.4915,0.0514,0.008566667,0.017429637,"165",""
"July","C",29,"Main",6,17824.842,2120.967,6,"1",353.4945,"0.0198315642853945","C29",NA,0.479,0.0505,0.008416667,0.017571329,"143",""
"July","C",30,"Main",6,1108.507,0,3,"0",0,"0","C30",NA,0.1464,8e-04,0.000133333,0.000910747,"93","damaged, limited growth"
"June","A",1,"Main",6,5383.268,986.104,5,"1",164.350666666667,"0.0305299061214613","A1","0",0.1467,0.0191,0.003183333,0.021699614,"74",""
"June","A",2,"Main",6,8055.018,1774.874,4,"1",295.812333333333,"0.0367239816637695","A2","0",0.2963,0.0425,0.007083333,0.023905951,"128",""
"June","A",3,"Main",6,7857.057,1209.476,5,"1",201.579333333333,"0.0256558318634233","A3","0",0.2496,0.0298,0.004966667,0.019898504,"119",""
"June","A",4,"Main",6,11071.099,1838.198,5,"1",306.366333333333,"0.0276726216009209","A4","0",0.374,0.0444,0.0074,0.019786096,"120",""
"June","A",5,"Main",6,10730.758,2842.587,5,"1",473.7645,"0.0441501429815117","A5","0",0.4404,0.0609,0.01015,0.02304723,"129",""
"June","A",6,"Main",6,4470.383,785.293,4,"1",130.882166666667,"0.0292776181966213","A6","1",0.1125,0.0144,0.0024,0.021333333,"55",""
"June","A",7,"Main",6,8129.609,1459.578,6,"1",243.263,"0.0299230873219118","A7","0",0.2635,0.0332,0.005533333,0.020999367,"109",""
"June","A",8,"Main",6,8627.374,876.027,5,"1",146.0045,"0.0169233998665179","A8","0",0.1299,0.0098,0.001633333,0.012573775,"70",""
"June","A",9,"Main",6,4519.56,539.009,5,"1",89.8348333333333,"0.0198768980461225","A9","1",0.2798,0.0126,0.0021,0.007505361,"132",""
"June","A",10,"Main",6,13347.716,1825.664,6,"1",304.277333333333,"0.0227962097285658","A10","1",0.4223,0.0341,0.005683333,0.013458047,"109",""
"June","A",11,"Main",6,14176.135,2744.417,6,"1",457.402833333333,"0.0322656939520774","A11","1",0.4341,0.0682,0.011366667,0.026184443,"117.5",""
"June","A",12,"Main",6,5002.518,1031.747,4,"1",171.957833333333,"0.0343742557914501","A12","0",0.1516,0.0208,0.003466667,0.022867194,"90",""
"June","A",13,"Main",6,21781.202,1357.981,6,"1",226.330166666667,"0.0103910778967417","A13","0",0.6531,0.034,0.005666667,0.008676568,"116",""
"June","A",14,"Main",6,6649.858,1530.466,5,"0",255.077666666667,"0.0383583629404818","A14","0",0.2049,0.0301,0.005016667,0.024483488,"85",""
"June","A",15,"Main",6,3117.607,320.184,4,"1",53.364,"0.0171169746539573","A15","1",0.0843,0.0068,0.001133333,0.013444049,"53",""
"June","A",16,"Main",6,8455.684,1256.59,5,"1",209.431666666667,"0.0247681520107264","A16","0",0.2734,0.0288,0.0048,0.017556693,"96",""
"June","A",17,"Main",6,12667.6,2664.777,5,"1",444.1295,"0.035060271874704","A17","1",0.4056,0.06,0.01,0.024654832,"40",""
"June","A",18,"Main",6,2502.264,369.013,4,"1",61.5021666666667,"0.0245786082790092","A18","0",0.0885,0.0028,0.000466667,0.00527307,"70",""
"June","A",19,"Main",6,5171.733,607.591,3,"1",101.265166666667,"0.0195805094088706","A19","1",0.1363,0.0145,0.002416667,0.017730496,"67",""
"June","A",20,"Main",6,3915.579,660.28,3,"1",110.046666666667,"0.0281048260465864","A20","1",0.1076,0.0095,0.001583333,0.014714994,"73",""
"June","A",21,"Main",6,3011.804,43.175,5,"1",7.19583333333333,"0.00238921036472936","A21","1",0.0629,0,0,0,"44",""
"June","A",22,"Main",6,14620.247,1832.799,6,"1",305.4665,"0.0208933884632729","A22","1",0.4826,0.0404,0.006733333,0.013952203,"137.5",""
"June","A",23,"Main",6,10315.065,1193.384,4,"1",198.897333333333,"0.0192822181278871","A23","1",0.371,0.02,0.003333333,0.008984726,"125",""
"June","A",25,"Main",6,6825.894,925.753,5,"1",154.292166666667,"0.0226039499978562","A25","1",0.2046,0.0144,0.0024,0.011730205,"85",""
"June","A",26,"Main",6,8177.203,1222.186,4,"1",203.697666666667,"0.024910432903117","A26","0",0.2438,0.0298,0.004966667,0.02037189,"127",""
"June","A",27,"Main",6,7699.625,1164.004,6,"1",194.000666666667,"0.0251961188586024","A27","0",0.2304,0.0272,0.004533333,0.019675926,"85",""
"June","A",28,"Main",6,6323.464,565.995,5,"1",94.3325,"0.014917851987455","A28","1",0.2019,0.0196,0.003266667,0.016179627,"64",""
"June","A",29,"Main",6,8639.893,661.225,5,"1",110.204166666667,"0.0127552698472848","A29","1",0.2375,0.0151,0.002516667,0.010596491,"102",""
"June","A",30,"Main",6,2598.486,0,3,"1",0,"0","A30","0",0.0737,0,0,0,"45","damaged, no growth"
"June","B",1,"Main",6,5577.633,1103.451,3,"0",183.9085,"0.0329724992662658","B1","0",0.1695,0.0295,0.004916667,0.029006883,"100",""
"June","B",2,"Main",6,7032.087,1390.659,4,"0",231.7765,"0.0329598453488986","B2","0",0.2096,0.0298,0.004966667,0.023695929,"100",""
"June","B",3,"Main",6,8868.696,0,5,"1",0,"0","B3","1",0.2295,NA,NA,NA,"110","damaged, no growth"
"June","B",5,"Main",6,12349.065,1651.814,6,"1",275.302333333333,"0.0222933747075858","B5","1",0.3437,0.0393,0.00655,0.019057317,"108",""
"June","B",6,"Main",6,3851.136,565.15,3,"1",94.1916666666667,"0.0244581512225657","B6","1",0.0989,0.0119,0.001983333,0.020053927,"69",""
"June","B",7,"Main",6,3994.254,NA,3,"0",NA,NA,"B7","0",0.1237,0.0137,0.002283333,0.018458636,"112.5",""
"June","B",8,"Main",6,13745.295,2035.535,5,"1",339.255833333333,"0.0246815971089259","B8","1",0.4496,0.0382,0.006366667,0.014160735,"123",""
"June","B",9,"Main",6,3206.859,544.557,3,"1",90.7595,"0.028301680865919","B9","1",0.1126,0.0134,0.002233333,0.019834221,"68",""
"June","B",10,"Main",6,6695.844,1204.174,4,"1",200.695666666667,"0.0299731694266872","B10","1",0.1891,0.0208,0.003466667,0.018332452,"101",""
"June","B",11,"Main",6,4552.822,820.152,3,"1",136.692,"0.0300235765861261","B11","1",0.1317,0.0165,0.00275,0.02088079,"90",""
"June","B",13,"Main",6,11939.367,3443.629,5,"1",573.938166666667,"0.0480710716629003","B13","1",NA,NA,NA,NA,"106","Biomass is questionable but area is ok"
"June","B",14,"Main",6,6532.095,410.288,3,"1",68.3813333333333,"0.0104685148230902","B14","1",0.2037,0.0081,0.00135,0.006627393,"95.5",""
"June","B",15,"Main",6,3728.263,361.038,4,"0",60.173,"0.0161396875703243","B15","0",0.1092,0.0082,0.001366667,0.012515263,"94",""
"June","B",16,"Main",6,7205.22,2696.739,4,"1",449.4565,"0.0623792889044332","B16","1",0.2549,0.047,0.007833333,0.030731006,"137",""
"June","B",17,"Main",6,8003.154,1416.103,4,"1",236.017166666667,"0.0294905191961403","B17","1",0.2588,0.0286,0.004766667,0.018418341,"122",""
"June","B",18,"Main",6,2787.484,36.504,2,"1",6.084,"0.0021826134248663","B18","0",0.1183,0.0061,0.001016667,0.00859397,"80",""
"June","B",19,"Main",6,12033.011,1604.953,5,"1",267.492166666667,"0.0222298613926861","B19","0",0.3922,0.0338,0.005633333,0.01436342,"107",""
"June","B",20,"Main",6,12915.871,1962.17,5,"1",327.028333333333,"0.0253198822853939","B20","1",0.4471,0.0441,0.00735,0.016439275,"130",""
"June","B",21,"Main",6,1236.74,57.546,2,"1",9.591,"0.00775506573734172","B21","1",0.0381,7e-04,0.000116667,0.003062117,"59",""
"June","B",22,"Main",6,7665.948,1332.883,4,"0",222.147166666667,"0.0289784338044905","B22","0",0.2548,0.027,0.0045,0.017660911,"140",""
"June","B",23,"Main",6,10887.845,2172.201,5,"0",362.0335,"0.0332511621904978","B23","0",0.3507,0.0465,0.00775,0.02209866,"175",""
"June","B",24,"Main",6,4300.094,38.308,4,"1",6.38466666666667,"0.00148477374370576","B24","1",0.1231,0.0066,0.0011,0.008935825,"100",""
"June","B",25,"Main",6,14187.444,1317.125,7,"1",219.520833333333,"0.0154728951411779","B25","0",0.4659,0.0374,0.006233333,0.013379123,"96",""
"June","B",26,"Main",6,10894.316,1713.004,4,"1",285.500666666667,"0.0262063875021311","B26","1",0.3506,0.0439,0.007316667,0.020868986,"135",""
"June","B",27,"Main",6,5738.822,1097.118,4,"1",182.853,"0.0318624623659699","B27","1",0.1845,0.0189,0.00315,0.017073171,"120",""
"June","B",28,"Main",6,9677.056,1625.969,5,"1",270.994833333333,"0.0280038508956994","B28","1",0.2684,0.0336,0.0056,0.020864382,"67",""
"June","B",29,"Main",6,6741.44,678.637,4,"1",113.106166666667,"0.0167777458030727","B29","1",0.2128,0.0154,0.002566667,0.012061404,"96",""
"June","B",30,"Main",6,3049.414,522.668,3,"1",87.1113333333333,"0.0285665814262456","B30","1",0.1119,0.0204,0.0034,0.030384272,"80",""
"June","C",1,"Main",6,4963.254,1063.093,4,"1",177.182166666667,"0.0356987908873224","C1","1",0.1628,0.0235,0.003916667,0.024058149,"93",""
"June","C",2,"Main",6,4219.072,857.041,4,"1",142.840166666667,"0.0338558257992911","C2","1",0.1115,0.0281,0.004683333,0.04200299,"62.5",""
"June","C",3,"Main",6,2350.222,142.204,3,"1",23.7006666666667,"0.0100844374134302","C3","1",0.0677,0.0117,0.00195,0.028803545,"70",""
"June","C",4,"Main",6,13299.614,2092.16,5,"1",348.693333333333,"0.0262183047818781","C4","1",0.3847,0.048,0.008,0.020795425,"135",""
"June","C",5,"Main",6,14034.693,2510.971,5,"1",418.495166666667,"0.0298186192363927","C5","1",0.3828,0.0465,0.00775,0.020245559,"130",""
"June","C",6,"Main",6,4792.918,798.96,5,"1",133.16,"0.0277826576628267","C6","1",0.1505,0.0227,0.003783333,0.025138427,"76",""
"June","C",7,"Main",6,2641.065,190.72,3,"1",31.7866666666667,"0.0120355487906078","C7","0",0.0887,0.007,0.001166667,0.01315295,"84",""
"June","C",8,"Main",6,7806.604,1927.035,4,"1",321.1725,"0.0411411287161485","C8","1",0.2426,0.0377,0.006283333,0.025899973,"131",""
"June","C",9,"Main",6,12191.742,1879.183,5,"1",313.197166666667,"0.0256892876068626","C9","1",0.3915,0.0326,0.005433333,0.013878246,"50",""
"June","C",10,"Main",6,10800.069,2017.494,5,"0",336.249,"0.031133967755206","C10","0",0.3351,0.0612,0.0102,0.030438675,"140",""
"June","C",12,"Main",6,6187.419,897.324,5,"1",149.554,"0.0241706598502542","C12","0",0.2062,0.0401,0.006683333,0.032411898,"100",""
"June","C",13,"Main",6,10934.956,2755.42,4,"1",459.236666666667,"0.041997120671237","C13","0",0.5147,0.0814,0.013566667,0.026358396,"170",""
"June","C",14,"Main",6,6903.986,1953.232,5,"1",325.538666666667,"0.0471522779256312","C14","0",0.2646,0.046,0.007666667,0.028974553,"125",""
"June","C",15,"Main",6,4050.273,529.205,4,"1",88.2008333333333,"0.0217765156406329","C15","0",0.1203,0.0173,0.002883333,0.023967858,"85",""
"June","C",16,"Main",6,6626.901,1194.272,4,"1",199.045333333333,"0.030035959995982","C16","1",0.2077,0.0306,0.0051,0.024554646,"100",""
"June","C",17,"Main",6,8314.307,1343.473,5,"1",223.912166666667,"0.026930947662465","C17","1",0.2353,0.036,0.006,0.025499363,"99",""
"June","C",18,"Main",6,3853.46,1013.141,4,"1",168.856833333333,"0.0438195370740408","C18","1",0.1052,0.0252,0.0042,0.039923954,"55",""
"June","C",19,"Main",6,21029.788,3404.292,7,"1",567.382,"0.026979920101905","C19","1",0.6392,0.0867,0.01445,0.022606383,"180",""
"June","C",20,"Main",6,6654.62,1180.838,5,"1",196.806333333333,"0.0295743909244004","C20","1",0.2155,0.0356,0.005933333,0.027532869,"80",""
"June","C",21,"Main",6,4911.781,449.307,4,"0",74.8845,"0.0152458955315801","C21","0",0.1443,0.0072,0.0012,0.008316008,"66",""
"June","C",22,"Main",6,5969.422,2674.961,4,"1",445.826833333333,"0.0746850923478577","C22","1",0.2845,0.0667,0.011116667,0.0390744,"162",""
"June","C",23,"Main",6,9758.736,1599.574,5,"1",266.595666666667,"0.0273186677728209","C23","1",0.252,0.0247,0.004116667,0.016335979,"120",""
"June","C",24,"Main",6,5447.992,653.852,4,"0",108.975333333333,"0.0200028438612489","C24","0",0.1176,0.0156,0.0026,0.022108844,"75",""
"June","C",25,"Main",6,12053.296,1960.67,6,"1",326.778333333333,"0.0271111182645256","C25","1",0.2784,0.0461,0.007683333,0.02759818,"142",""
"June","C",26,"Main",6,15916.657,2669.508,6,"1",444.918,"0.0279529803274645","C26","1",0.5592,0.0749,0.012483333,0.022323557,"165",""
"June","C",27,"Main",6,1633.952,153.909,2,"0",25.6515,"0.0156990535829694","C27","0",0.0496,0.0094,0.001566667,0.031586022,"45",""
"June","C",28,"Main",6,8439.307,1565.68,5,"1",260.946666666667,"0.0309203903432671","C28","1",0.2066,0.0444,0.0074,0.035818006,"114",""
"June","C",29,"Main",6,6862.166,759.74,6,"1",126.623333333333,"0.0184523856364497","C29","1",0.1948,0.0143,0.002383333,0.012234771,"95",""
"June","C",30,"Main",6,7165.551,1798.466,5,"1",299.744333333333,"0.0418313027614113","C30","1",0.2358,0.017,0.002833333,0.012015833,"115",""
"June","A",24,NA,NA,NA,NA,NA,NA,NA,NA,"A24","1",NA,NA,NA,NA,"nd","blades detached, sample lost"
"June","B",4,NA,NA,NA,NA,NA,NA,NA,NA,"B4","1",NA,NA,NA,NA,"","sample lost"
"June","B",12,NA,NA,NA,NA,NA,NA,NA,NA,"B12","1",NA,NA,NA,NA,"67","This shoot wasn't separated into new and old properly on the scan; don't use
"
"June","C",11,NA,NA,NA,NA,NA,NA,NA,NA,"C11","0",0.5721,NA,NA,NA,"130","no pin holes visible"
