"Month","Transect","Shoot","Subshoot","Days","Old.mm","New.mm","NumLeavs","Prev","mm2.sh.d","sp.prod.mm2"
"July","A",1,"Main",6,7039.937,941.802,4,"1",156.967,"0.0222966483933024"
"July","A",2,"Main",6,20611.525,2623.129,5,"1",437.188166666667,"0.0212108597819262"
"July","A",3,"Main",6,6261.062,1316.057,3,"1",219.342833333333,"0.03503284799501"
"July","A",4,"Main",6,7448.763,1320.893,5,"1",220.148833333333,"0.0295550863053816"
"July","A",5,"Main",6,6807.872,790.647,5,"1",131.7745,"0.019356195298619"
"July","A",6,"Main",6,3399.893,53.406,3,"0",8.901,"0.00261802356721226"
"July","A",7,"Main",6,7940.097,1042.049,5,"1",173.674833333333,"0.0218731374860198"
"July","A",8,"Main",6,7423.491,1077.92,4,"1",179.653333333333,"0.0242006534840998"
"July","A",9,"Main",6,8142.915,1541.265,5,"0",256.8775,"0.0315461355055284"
"July","A",10,"Main",6,13609.303,1520.689,4,"1",253.448166666667,"0.0186231555478386"
"July","A",11,"Main",6,1621.27,81.202,2,"0",13.5336666666667,"0.00834757114278724"
"July","A",12,"Main",6,5551.269,841.657,4,"1",140.276166666667,"0.0252692072149029"
"July","A",13,"Main",6,8284.451,1148.983,4,"1",191.497166666667,"0.0231152512902384"
"July","A",14,"Main",6,6283.102,1164.547,5,"1",194.091166666667,"0.0308909781612119"
"July","A",15,"Main",6,10286.644,1048.601,5,"1",174.766833333333,"0.0169896842287274"
"July","A",16,"Main",6,9153.794,997.184,5,"1",166.197333333333,"0.0181561146485636"
"July","A",17,"Main",6,5088.344,768.453,3,"1",128.0755,"0.0251703697705973"
"July","A",18,"Main",6,4292.356,457.892,4,"0",76.3153333333333,"0.0177793578476094"
"July","A",19,"Main",6,4540.698,648.221,4,"1",108.036833333333,"0.0237930012815944"
"July","A",20,"Main",6,4502.168,656.187,4,"1",109.3645,"0.0242915191081275"
"July","A",21,"Main",6,3232.402,289.325,3,"1",48.2208333333333,"0.0149179567805407"
"July","A",22,"Main",6,6445.045,859.626,4,"1",143.271,"0.0222296353245012"
"July","A",23,"Main",6,10954.64,1299.292,4,"1",216.548666666667,"0.019767757467764"
"July","A",24,"Main",6,5081.755,307.258,3,"1",51.2096666666667,"0.0100771616629819"
"July","A",25,"Main",6,8564.669,1547.642,6,"0",257.940333333333,"0.030116789491028"
"July","A",26,"Main",6,7824.966,1186.682,5,"1",197.780333333333,"0.0252755517830152"
"July","A",27,"Main",6,6290.958,457.1,5,"1",76.1833333333333,"0.0121099732875873"
"July","A",28,"Main",6,6043.041,598.929,3,"1",99.8215,"0.0165184217681131"
"July","A",29,"Main",6,5507.973,587.639,5,"1",97.9398333333333,"0.0177814657648709"
"July","A",30,"Main",6,4836.701,860.986,4,"1",143.497666666667,"0.0296685006302161"
"July","B",1,"Main",6,9027.531,1262.836,5,"1",210.472666666667,"0.0233145326963338"
"July","B",2,"Main",6,6650.407,1331.782,5,"0",221.963666666667,"0.0333759522788104"
"July","B",3,"Main",6,4426.705,893.065,5,"1",148.844166666667,"0.0336241440680295"
"July","B",4,"Main",6,21088.165,1073.919,5,"1",178.9865,"0.00848753317322773"
"July","B",5,"Main",6,8826.827,1306.672,4,"1",217.778666666667,"0.024672361502799"
"July","B",6,"Main",6,845.405,158.653,2,"0",26.4421666666667,"0.0312775139331642"
"July","B",7,"Main",6,21639.31,2361.544,6,"1",393.590666666667,"0.0181886883947162"
"July","B",8,"Main",6,12058.114,1167.272,5,"1",194.545333333333,"0.0161339769497397"
"July","B",9,"Main",6,5666.492,824.019,4,"1",137.3365,"0.0242365999987294"
"July","B",10,"Main",6,6895.653,1562.111,4,"1",260.351833333333,"0.0377559359981329"
"July","B",11,"Main",6,8546.681,1426.705,3,"1",237.784166666667,"0.027821813715367"
"July","B",12,"Main",6,9980.578,1292.504,4,"1",215.417333333333,"0.0215836531043927"
"July","B",13,"Main",6,2718.477,55.094,4,"1",9.18233333333333,"0.00337774913428855"
"July","B",14,"Main",6,7485.131,873.259,4,"1",145.543166666667,"0.0194443045374445"
"July","B",15,"Main",6,3376.631,222.436,4,"1",37.0726666666667,"0.0109791880328845"
"July","B",16,"Main",6,7879.28,1274.937,4,"1",212.4895,"0.0269681366825395"
"July","B",17,"Main",6,6131.774,987.97,4,"1",164.661666666667,"0.0268538381660294"
"July","B",18,"Main",6,5463.945,1131.821,3,"1",188.636833333333,"0.0345239260888119"
"July","B",19,"Main",6,13049.633,1876.74,4,"1",312.79,"0.023969256453419"
"July","B",20,"Main",6,8034.044,816.85,5,"1",136.141666666667,"0.0169455963480741"
"July","B",21,"Main",6,3741.845,780.176,4,"1",130.029333333333,"0.0347500586831719"
"July","B",22,"Main",6,9241.916,1068.324,5,"1",178.054,"0.0192659184524075"
"July","B",23,"Main",6,6911.856,1382.66,5,"1",230.443333333333,"0.0333402972129821"
"July","B",24,"Main",6,6277.573,1305.943,4,"1",217.657166666667,"0.03467218408558"
"July","B",25,"Main",6,12623.199,1677.444,5,"0",279.574,"0.0221476346843617"
"July","B",26,"Main",6,7482.484,2080.32,5,"1",346.72,"0.0463375531441163"
"July","B",27,"Main",6,2175.817,431.31,3,"1",71.885,"0.0330381645147547"
"July","B",28,"Main",6,15672.929,2023.668,5,"1",337.278,"0.0215197810185958"
"July","B",29,"Main",6,3851.896,1029.173,2,"0",171.528833333333,"0.0445310136445359"
"July","B",30,"Main",6,5130.879,209.852,4,"1",34.9753333333333,"0.00681663577202529"
"July","C",1,"Main",6,5172.413,1051.331,4,"0",175.221833333333,"0.0338762263054658"
"July","C",2,"Main",6,15349.282,1989.129,5,"1",331.5215,"0.0215985021318913"
"July","C",3,"Main",6,6022.268,1054.799,5,"1",175.799833333333,"0.0291916323440493"
"July","C",4,"Main",6,7829.743,483.261,5,"1",80.5435,"0.0102868638217116"
"July","C",5,"Main",6,8194.101,1923.677,4,"1",320.612833333333,"0.039127273795299"
"July","C",6,"Main",6,9197.416,1925.975,5,"1",320.995833333333,"0.0349006539807847"
"July","C",7,"Main",6,23373.351,2753.669,6,"1",458.944833333333,"0.0196353887524871"
"July","C",8,"Main",6,19421,2805.32,6,"1",467.553333333333,"0.0240746271218441"
"July","C",9,"Main",6,5489.841,898.919,5,"0",149.819833333333,"0.0272903775051651"
"July","C",10,"Main",6,11299.415,1511.665,5,"1",251.944166666667,"0.0222970982716067"
"July","C",11,"Main",6,11964.803,1578.635,6,"1",263.105833333333,"0.0219899845683488"
"July","C",12,"Main",6,9368.804,331.363,5,"1",55.2271666666667,"0.00589479368622363"
"July","C",13,"Main",6,6178.781,946.684,4,"1",157.780666666667,"0.0255358891449085"
"July","C",14,"Main",6,14125.509,2134.823,5,"1",355.803833333333,"0.0251887442309748"
"July","C",15,"Main",6,2090.296,424.596,3,"1",70.766,"0.033854535434216"
"July","C",16,"Main",6,7392.715,1048.02,4,"1",174.67,"0.0236273141870071"
"July","C",17,"Main",6,16167.973,2561.768,5,"1",426.961333333333,"0.0264078455186271"
"July","C",18,"Main",6,7421.752,1534.469,5,"1",255.744833333333,"0.0344588223014368"
"July","C",19,"Main",6,16204.291,2188.023,5,"1",364.6705,"0.0225045637603027"
"July","C",20,"Main",6,12006.521,979.273,6,"1",163.212166666667,"0.0135936268854789"
"July","C",21,"Main",6,5072.627,643.761,4,"1",107.2935,"0.0211514664886655"
"July","C",22,"Main",6,11631.315,1592.543,4,"1",265.423833333333,"0.0228197614227913"
"July","C",23,"Main",6,15447.458,1818.56,5,"1",303.093333333333,"0.0196209197224121"
"July","C",24,"Main",6,8657.784,1369.662,4,"1",228.277,"0.026366677662552"
"July","C",25,"Main",6,11674.09,1953.695,4,"1",325.615833333333,"0.0278921811750066"
"July","C",26,"Main",6,24176.202,3998.861,6,"1",666.476833333333,"0.0275674745492833"
"July","C",27,"Main",6,6513.139,1290.613,4,"1",215.102166666667,"0.0330258830138074"
"July","C",28,"Main",6,15496.836,2025.82,5,"1",337.636666666667,"0.021787458205447"
"July","C",29,"Main",6,17824.842,2120.967,6,"1",353.4945,"0.0198315642853945"
"July","C",30,"Main",6,1108.507,0,3,"0",0,"0"
"June","A",1,"Main",6,5383.268,986.104,5,"1",164.350666666667,"0.0305299061214613"
"June","A",2,"Main",6,8055.018,1774.874,4,"1",295.812333333333,"0.0367239816637695"
"June","A",3,"Main",6,7857.057,1209.476,5,"1",201.579333333333,"0.0256558318634233"
"June","A",4,"Main",6,11071.099,1838.198,5,"1",306.366333333333,"0.0276726216009209"
"June","A",5,"Main",6,10730.758,2842.587,5,"1",473.7645,"0.0441501429815117"
"June","A",6,"Main",6,4470.383,785.293,4,"1",130.882166666667,"0.0292776181966213"
"June","A",7,"Main",6,8129.609,1459.578,6,"1",243.263,"0.0299230873219118"
"June","A",8,"Main",6,8627.374,876.027,5,"1",146.0045,"0.0169233998665179"
"June","A",9,"Main",6,4519.56,539.009,5,"1",89.8348333333333,"0.0198768980461225"
"June","A",10,"Main",6,13347.716,1825.664,6,"1",304.277333333333,"0.0227962097285658"
"June","A",11,"Main",6,14176.135,2744.417,6,"1",457.402833333333,"0.0322656939520774"
"June","A",12,"Main",6,5002.518,1031.747,4,"1",171.957833333333,"0.0343742557914501"
"June","A",13,"Main",6,21781.202,1357.981,6,"1",226.330166666667,"0.0103910778967417"
"June","A",14,"Main",6,6649.858,1530.466,5,"0",255.077666666667,"0.0383583629404818"
"June","A",15,"Main",6,3117.607,320.184,4,"1",53.364,"0.0171169746539573"
"June","A",16,"Main",6,8455.684,1256.59,5,"1",209.431666666667,"0.0247681520107264"
"June","A",17,"Main",6,12667.6,2664.777,5,"1",444.1295,"0.035060271874704"
"June","A",18,"Main",6,2502.264,369.013,4,"1",61.5021666666667,"0.0245786082790092"
"June","A",19,"Main",6,5171.733,607.591,3,"1",101.265166666667,"0.0195805094088706"
"June","A",20,"Main",6,3915.579,660.28,3,"1",110.046666666667,"0.0281048260465864"
"June","A",21,"Main",6,3011.804,43.175,5,"1",7.19583333333333,"0.00238921036472936"
"June","A",22,"Main",6,14620.247,1832.799,6,"1",305.4665,"0.0208933884632729"
"June","A",23,"Main",6,10315.065,1193.384,4,"1",198.897333333333,"0.0192822181278871"
"June","A",25,"Main",6,6825.894,925.753,5,"1",154.292166666667,"0.0226039499978562"
"June","A",26,"Main",6,8177.203,1222.186,4,"1",203.697666666667,"0.024910432903117"
"June","A",27,"Main",6,7699.625,1164.004,6,"1",194.000666666667,"0.0251961188586024"
"June","A",28,"Main",6,6323.464,565.995,5,"1",94.3325,"0.014917851987455"
"June","A",29,"Main",6,8639.893,661.225,5,"1",110.204166666667,"0.0127552698472848"
"June","A",30,"Main",6,2598.486,0,3,"1",0,"0"
"June","B",1,"Main",6,5577.633,1103.451,3,"0",183.9085,"0.0329724992662658"
"June","B",2,"Main",6,7032.087,1390.659,4,"0",231.7765,"0.0329598453488986"
"June","B",3,"Main",6,8868.696,0,5,"1",0,"0"
"June","B",5,"Main",6,12349.065,1651.814,6,"1",275.302333333333,"0.0222933747075858"
"June","B",6,"Main",6,3851.136,565.15,3,"1",94.1916666666667,"0.0244581512225657"
"June","B",7,"Main",6,3994.254,NA,3,"0",NA,NA
"June","B",8,"Main",6,13745.295,2035.535,5,"1",339.255833333333,"0.0246815971089259"
"June","B",9,"Main",6,3206.859,544.557,3,"1",90.7595,"0.028301680865919"
"June","B",10,"Main",6,6695.844,1204.174,4,"1",200.695666666667,"0.0299731694266872"
"June","B",11,"Main",6,4552.822,820.152,3,"1",136.692,"0.0300235765861261"
"June","B",13,"Main",6,11939.367,3443.629,5,"1",573.938166666667,"0.0480710716629003"
"June","B",14,"Main",6,6532.095,410.288,3,"1",68.3813333333333,"0.0104685148230902"
"June","B",15,"Main",6,3728.263,361.038,4,"0",60.173,"0.0161396875703243"
"June","B",16,"Main",6,7205.22,2696.739,4,"1",449.4565,"0.0623792889044332"
"June","B",17,"Main",6,8003.154,1416.103,4,"1",236.017166666667,"0.0294905191961403"
"June","B",18,"Main",6,2787.484,36.504,2,"1",6.084,"0.0021826134248663"
"June","B",19,"Main",6,12033.011,1604.953,5,"1",267.492166666667,"0.0222298613926861"
"June","B",20,"Main",6,12915.871,1962.17,5,"1",327.028333333333,"0.0253198822853939"
"June","B",21,"Main",6,1236.74,57.546,2,"1",9.591,"0.00775506573734172"
"June","B",22,"Main",6,7665.948,1332.883,4,"0",222.147166666667,"0.0289784338044905"
"June","B",23,"Main",6,10887.845,2172.201,5,"0",362.0335,"0.0332511621904978"
"June","B",24,"Main",6,4300.094,38.308,4,"1",6.38466666666667,"0.00148477374370576"
"June","B",25,"Main",6,14187.444,1317.125,7,"1",219.520833333333,"0.0154728951411779"
"June","B",26,"Main",6,10894.316,1713.004,4,"1",285.500666666667,"0.0262063875021311"
"June","B",27,"Main",6,5738.822,1097.118,4,"1",182.853,"0.0318624623659699"
"June","B",28,"Main",6,9677.056,1625.969,5,"1",270.994833333333,"0.0280038508956994"
"June","B",29,"Main",6,6741.44,678.637,4,"1",113.106166666667,"0.0167777458030727"
"June","B",30,"Main",6,3049.414,522.668,3,"1",87.1113333333333,"0.0285665814262456"
"June","C",1,"Main",6,4963.254,1063.093,4,"1",177.182166666667,"0.0356987908873224"
"June","C",2,"Main",6,4219.072,857.041,4,"1",142.840166666667,"0.0338558257992911"
"June","C",3,"Main",6,2350.222,142.204,3,"1",23.7006666666667,"0.0100844374134302"
"June","C",4,"Main",6,13299.614,2092.16,5,"1",348.693333333333,"0.0262183047818781"
"June","C",5,"Main",6,14034.693,2510.971,5,"1",418.495166666667,"0.0298186192363927"
"June","C",6,"Main",6,4792.918,798.96,5,"1",133.16,"0.0277826576628267"
"June","C",7,"Main",6,2641.065,190.72,3,"1",31.7866666666667,"0.0120355487906078"
"June","C",8,"Main",6,7806.604,1927.035,4,"1",321.1725,"0.0411411287161485"
"June","C",9,"Main",6,12191.742,1879.183,5,"1",313.197166666667,"0.0256892876068626"
"June","C",10,"Main",6,10800.069,2017.494,5,"0",336.249,"0.031133967755206"
"June","C",12,"Main",6,6187.419,897.324,5,"1",149.554,"0.0241706598502542"
"June","C",13,"Main",6,10934.956,2755.42,4,"1",459.236666666667,"0.041997120671237"
"June","C",14,"Main",6,6903.986,1953.232,5,"1",325.538666666667,"0.0471522779256312"
"June","C",15,"Main",6,4050.273,529.205,4,"1",88.2008333333333,"0.0217765156406329"
"June","C",16,"Main",6,6626.901,1194.272,4,"1",199.045333333333,"0.030035959995982"
"June","C",17,"Main",6,8314.307,1343.473,5,"1",223.912166666667,"0.026930947662465"
"June","C",18,"Main",6,3853.46,1013.141,4,"1",168.856833333333,"0.0438195370740408"
"June","C",19,"Main",6,21029.788,3404.292,7,"1",567.382,"0.026979920101905"
"June","C",20,"Main",6,6654.62,1180.838,5,"1",196.806333333333,"0.0295743909244004"
"June","C",21,"Main",6,4911.781,449.307,4,"0",74.8845,"0.0152458955315801"
"June","C",22,"Main",6,5969.422,2674.961,4,"1",445.826833333333,"0.0746850923478577"
"June","C",23,"Main",6,9758.736,1599.574,5,"1",266.595666666667,"0.0273186677728209"
"June","C",24,"Main",6,5447.992,653.852,4,"0",108.975333333333,"0.0200028438612489"
"June","C",25,"Main",6,12053.296,1960.67,6,"1",326.778333333333,"0.0271111182645256"
"June","C",26,"Main",6,15916.657,2669.508,6,"1",444.918,"0.0279529803274645"
"June","C",27,"Main",6,1633.952,153.909,2,"0",25.6515,"0.0156990535829694"
"June","C",28,"Main",6,8439.307,1565.68,5,"1",260.946666666667,"0.0309203903432671"
"June","C",29,"Main",6,6862.166,759.74,6,"1",126.623333333333,"0.0184523856364497"
"June","C",30,"Main",6,7165.551,1798.466,5,"1",299.744333333333,"0.0418313027614113"
